date,price
2025-04-04,0.575
2025-04-05,0.47
2025-04-06,0.45
2025-04-07,0.47
2025-04-08,0.59
2025-04-09,0.585
2025-04-10,0.51
2025-04-11,0.51
2025-04-12,0.49
2025-04-13,0.48
2025-04-14,0.48
2025-04-15,0.475
2025-04-16,0.47
2025-04-17,0.46
2025-04-18,0.425
2025-04-19,0.395
2025-04-20,0.395
2025-04-21,0.395
2025-04-22,0.395
2025-04-23,0.395
2025-04-24,0.395
2025-04-25,0.385
2025-04-26,0.385
2025-04-27,0.345
2025-04-28,0.265
2025-04-29,0.27
2025-04-30,0.265
2025-05-01,0.41
2025-05-02,0.47
2025-05-03,0.415
2025-05-04,0.415
2025-05-05,0.425
2025-05-06,0.425
2025-05-07,0.425
2025-05-08,0.425
2025-05-09,0.375
2025-05-10,0.31
2025-05-11,0.33
2025-05-12,0.355
2025-05-13,0.355
2025-05-14,0.335
2025-05-15,0.335
2025-05-16,0.33
2025-05-17,0.23
2025-05-18,0.25
2025-05-19,0.25
2025-05-20,0.265
2025-05-21,0.255
2025-05-22,0.245
2025-05-23,0.245
2025-05-24,0.235
2025-05-25,0.23
2025-05-26,0.225
2025-05-27,0.23
2025-05-28,0.23
2025-05-29,0.23
2025-05-30,0.235
2025-05-31,0.235
2025-06-01,0.235
2025-06-02,0.235
2025-06-03,0.235
2025-06-04,0.24
2025-06-05,0.235
2025-06-06,0.24
2025-06-07,0.24
2025-06-08,0.245
2025-06-09,0.245
2025-06-10,0.245
2025-06-11,0.245
2025-06-12,0.24
2025-06-13,0.24
2025-06-14,0.215
2025-06-15,0.215
2025-06-16,0.215
2025-06-17,0.215
2025-06-18,0.215
2025-06-19,0.215
2025-06-20,0.215
2025-06-21,0.21
2025-06-22,0.21
2025-06-23,0.16
2025-06-24,0.12
2025-06-25,0.135
2025-06-26,0.16
2025-06-27,0.165
2025-06-28,0.22
2025-06-29,0.23
2025-06-30,0.225
2025-07-01,0.225
2025-07-02,0.21
2025-07-03,0.17
2025-07-04,0.17
2025-07-05,0.17
2025-07-06,0.17
2025-07-07,0.17
2025-07-08,0.17
2025-07-09,0.165
2025-07-10,0.165
2025-07-11,0.165
2025-07-12,0.165
2025-07-13,0.125
2025-07-14,0.145
2025-07-15,0.145
2025-07-16,0.115
2025-07-17,0.11
2025-07-18,0.125
2025-07-19,0.125
2025-07-20,0.125
2025-07-21,0.12
2025-07-22,0.12
2025-07-23,0.13
2025-07-24,0.13
2025-07-25,0.13
2025-07-26,0.125
2025-07-27,0.125
2025-07-28,0.125
2025-07-29,0.125
2025-07-30,0.125
2025-07-31,0.105
2025-08-01,0.09
2025-08-02,0.095
2025-08-03,0.085
2025-08-04,0.085
2025-08-05,0.095
2025-08-06,0.095
2025-08-07,0.095
2025-08-08,0.095
2025-08-09,0.095
2025-08-10,0.095
2025-08-11,0.095
2025-08-12,0.095
2025-08-13,0.095
2025-08-14,0.095
2025-08-15,0.095
2025-08-16,0.095
2025-08-17,0.095
2025-08-18,0.095
2025-08-19,0.105
2025-08-20,0.095
2025-08-21,0.09
2025-08-22,0.09
2025-08-23,0.09
2025-08-24,0.095
2025-08-25,0.095
2025-08-26,0.095
2025-08-27,0.095
2025-08-28,0.09
2025-08-29,0.095
2025-08-30,0.09
2025-08-31,0.09
2025-09-01,0.08
2025-09-02,0.075
2025-09-03,0.07
2025-09-04,0.08
2025-09-05,0.085
2025-09-06,0.08
2025-09-07,0.075
2025-09-08,0.075
2025-09-09,0.08
2025-09-10,0.075
2025-09-11,0.085
2025-09-12,0.08
2025-09-13,0.08
2025-09-14,0.08
2025-09-15,0.075
2025-09-16,0.08
2025-09-17,0.08
2025-09-18,0.08
2025-09-19,0.08
2025-09-20,0.06
2025-09-21,0.06
2025-09-22,0.06
2025-09-23,0.06
2025-09-24,0.06
2025-09-25,0.06
2025-09-26,0.06
2025-09-27,0.065
2025-09-28,0.065
2025-09-29,0.065
2025-09-30,0.06
2025-10-01,0.055
2025-10-02,0.05
2025-10-03,0.045
2025-10-04,0.045
2025-10-05,0.045
2025-10-06,0.045
2025-10-07,0.045
2025-10-08,0.045
2025-10-09,0.045
2025-10-10,0.045
2025-10-11,0.055
2025-10-12,0.045
2025-10-13,0.045
2025-10-14,0.045
2025-10-15,0.045
2025-10-16,0.045
2025-10-17,0.045
2025-10-18,0.045
2025-10-19,0.045
2025-10-20,0.045
2025-10-21,0.045
2025-10-22,0.045
2025-10-23,0.045
2025-10-24,0.045
2025-10-25,0.045
2025-10-26,0.045
2025-10-27,0.04
2025-10-28,0.04
2025-10-29,0.04
2025-10-30,0.04
2025-10-31,0.04
2025-11-01,0.04
2025-11-02,0.04
2025-11-03,0.04
2025-11-04,0.045
2025-11-05,0.045
2025-11-06,0.04
2025-11-07,0.0425
2025-11-08,0.0425
2025-11-09,0.0425
2025-11-10,0.0395
2025-11-11,0.04
2025-11-12,0.0395
2025-11-13,0.0395
2025-11-14,0.0395
2025-11-15,0.027
2025-11-16,0.0285
2025-11-17,0.029
2025-11-18,0.029
2025-11-19,0.0295
2025-11-20,0.033
2025-11-21,0.032
2025-11-22,0.0305
2025-11-23,0.035
2025-11-24,0.03
2025-11-25,0.028
2025-11-26,0.052
2025-11-27,0.0235
2025-11-28,0.0325
2025-11-29,0.025
2025-11-30,0.0165
2025-12-01,0.0175
2025-12-02,0.0175
2025-12-03,0.0225
2025-12-04,0.017
2025-12-05,0.0195
2025-12-06,0.0165
2025-12-07,0.0165
2025-12-08,0.017
2025-12-09,0.017
2025-12-10,0.0205
2025-12-11,0.014
2025-12-12,0.018
2025-12-13,0.0195
2025-12-14,0.0075
2025-12-15,0.0085
2025-12-16,0.008
2025-12-17,0.0085
2025-12-18,0.0085
2025-12-19,0.0085
2025-12-20,0.009
2025-12-21,0.009
2025-12-22,0.009
2025-12-23,0.008
2025-12-24,0.0085
2025-12-25,0.0095
2025-12-26,0.0095
2025-12-27,0.0095
2025-12-28,0.0155
2025-12-29,0.0085
2025-12-30,0.0145
2025-12-31,0.009
2026-01-01,0.009
2026-01-02,0.009
2026-01-03,0.0085
2026-01-04,0.0075
2026-01-05,0.0075
2026-01-06,0.0155
2026-01-07,0.016
2026-01-08,0.0185
2026-01-09,0.022
2026-01-10,0.0125
2026-01-11,0.0135
2026-01-12,0.0135
2026-01-13,0.0125
2026-01-14,0.016
2026-01-15,0.0125
2026-01-16,0.0105
2026-01-17,0.0105
2026-01-18,0.0095
2026-01-19,0.009
2026-01-20,0.0095
2026-01-21,0.0085
2026-01-22,0.0055
2026-01-23,0.013
2026-01-24,0.0115
2026-01-25,0.0125
2026-01-26,0.0105
2026-01-27,0.0045
2026-01-28,0.0085
2026-01-29,0.0115
2026-01-30,0.0035
2026-01-31,0.0055
2026-02-01,0.004
2026-02-02,0.0065
2026-02-03,0.0075
2026-02-04,0.01
2026-02-05,0.0055
2026-02-06,0.013
2026-02-07,0.013
2026-02-08,0.0075
2026-02-09,0.0065
2026-02-10,0.0095
2026-02-11,0.007
2026-02-12,0.0085
2026-02-13,0.006
2026-02-14,0.008
2026-02-15,0.008
2026-02-16,0.008
2026-02-17,0.0025
2026-02-18,0.003
2026-02-19,0.0015
2026-02-20,0.0015
