date,price
2025-03-05,0.68
2025-03-06,0.46
2025-03-07,0.375
2025-03-08,0.32
2025-03-09,0.205
2025-03-10,0.195
2025-03-11,0.23
2025-03-12,0.265
2025-03-13,0.29
2025-03-14,0.265
2025-03-15,0.275
2025-03-16,0.27
2025-03-17,0.275
2025-03-18,0.285
2025-03-19,0.275
2025-03-20,0.235
2025-03-21,0.23
2025-03-22,0.23
2025-03-23,0.225
2025-03-24,0.21
2025-03-25,0.195
2025-03-26,0.2
2025-03-27,0.21
2025-03-28,0.22
2025-03-29,0.32
2025-03-30,0.355
2025-03-31,0.39
2025-04-01,0.385
2025-04-02,0.455
2025-04-03,0.55
2025-04-04,0.48
2025-04-05,0.42
2025-04-06,0.355
2025-04-07,0.29
2025-04-08,0.305
2025-04-09,0.275
2025-04-10,0.23
2025-04-11,0.165
2025-04-12,0.22
2025-04-13,0.21
2025-04-14,0.21
2025-04-15,0.24
2025-04-16,0.26
2025-04-17,0.265
2025-04-18,0.265
2025-04-19,0.265
2025-04-20,0.275
2025-04-21,0.275
2025-04-22,0.275
2025-04-23,0.255
2025-04-24,0.255
2025-04-25,0.285
2025-04-26,0.305
2025-04-27,0.325
2025-04-28,0.34
2025-04-29,0.325
2025-04-30,0.74
