date,price
2025-10-30,0.085
2025-10-31,0.085
2025-11-01,0.085
2025-11-02,0.085
2025-11-03,0.085
2025-11-04,0.085
2025-11-05,0.085
2025-11-06,0.075
2025-11-07,0.075
2025-11-08,0.075
2025-11-09,0.08
2025-11-10,0.09
2025-11-11,0.085
2025-11-12,0.095
2025-11-13,0.095
2025-11-14,0.095
2025-11-15,0.095
2025-11-16,0.095
2025-11-17,0.095
2025-11-18,0.095
2025-11-19,0.095
2025-11-20,0.09
2025-11-21,0.095
2025-11-22,0.095
2025-11-23,0.095
2025-11-24,0.095
2025-11-25,0.08
2025-11-26,0.315
2025-11-27,0.075
2025-11-28,0.09
2025-11-29,0.095
2025-11-30,0.1
2025-12-01,0.085
2025-12-02,0.085
2025-12-03,0.085
2025-12-04,0.08
2025-12-05,0.085
2025-12-06,0.075
2025-12-07,0.075
2025-12-08,0.075
2025-12-09,0.075
2025-12-10,0.075
2025-12-11,0.075
2025-12-12,0.075
2025-12-13,0.075
2025-12-14,0.075
2025-12-15,0.075
2025-12-16,0.075
2025-12-17,0.075
2025-12-18,0.065
2025-12-19,0.055
2025-12-20,0.055
2025-12-21,0.055
2025-12-22,0.055
2025-12-23,0.055
2025-12-24,0.023
2025-12-25,0.022
2025-12-26,0.023
2025-12-27,0.014
2025-12-28,0.014
2025-12-29,0.014
2025-12-30,0.0155
2025-12-31,0.0165
2026-01-01,0.0155
2026-01-02,0.0125
2026-01-03,0.012
2026-01-04,0.0115
2026-01-05,0.011
2026-01-06,0.011
2026-01-07,0.0125
2026-01-08,0.0125
2026-01-09,0.0115
2026-01-10,0.0115
2026-01-11,0.0115
2026-01-12,0.012
2026-01-13,0.0125
2026-01-14,0.011
2026-01-15,0.0095
2026-01-16,0.0085
2026-01-17,0.016
2026-01-18,0.012
2026-01-19,0.0125
2026-01-20,0.008
2026-01-21,0.009
2026-01-22,0.011
2026-01-23,0.01
2026-01-24,0.0115
2026-01-25,0.012
2026-01-26,0.0135
2026-01-27,0.0135
2026-01-28,0.0135
2026-01-29,0.0115
2026-01-30,0.011
2026-01-31,0.0115
2026-02-01,0.011
2026-02-02,0.009
2026-02-03,0.0085
2026-02-04,0.0065
2026-02-05,0.007
2026-02-06,0.007
2026-02-07,0.009
2026-02-08,0.01
2026-02-09,0.01
2026-02-10,0.01
2026-02-11,0.006
2026-02-12,0.007
2026-02-13,0.0065
2026-02-14,0.007
2026-02-15,0.007
2026-02-16,0.0105
2026-02-17,0.0065
2026-02-18,0.0095
2026-02-19,0.009
2026-02-20,0.0065
