date,price
2025-03-05,0.205
2025-03-06,0.15
2025-03-07,0.175
2025-03-08,0.19
2025-03-09,0.265
2025-03-10,0.315
2025-03-11,0.325
2025-03-12,0.325
2025-03-13,0.325
2025-03-14,0.32
2025-03-15,0.305
2025-03-16,0.305
2025-03-17,0.305
2025-03-18,0.31
2025-03-19,0.295
2025-03-20,0.305
2025-03-21,0.3
2025-03-22,0.305
2025-03-23,0.305
2025-03-24,0.305
2025-03-25,0.3
2025-03-26,0.3
2025-03-27,0.295
2025-03-28,0.295
2025-03-29,0.285
2025-03-30,0.23
2025-03-31,0.2
2025-04-01,0.25
2025-04-02,0.265
2025-04-03,0.24
2025-04-04,0.265
2025-04-05,0.325
2025-04-06,0.325
2025-04-07,0.355
2025-04-08,0.405
2025-04-09,0.415
2025-04-10,0.455
2025-04-11,0.42
2025-04-12,0.485
2025-04-13,0.39
2025-04-14,0.38
2025-04-15,0.385
2025-04-16,0.385
2025-04-17,0.395
2025-04-18,0.43
2025-04-19,0.435
2025-04-20,0.41
2025-04-21,0.415
2025-04-22,0.425
2025-04-23,0.425
2025-04-24,0.445
2025-04-25,0.45
2025-04-26,0.45
2025-04-27,0.43
2025-04-28,0.405
2025-04-29,0.4
2025-04-30,0.205
