date,price
2025-03-05,0.105
2025-03-06,0.165
2025-03-07,0.19
2025-03-08,0.18
2025-03-09,0.185
2025-03-10,0.205
2025-03-11,0.185
2025-03-12,0.16
2025-03-13,0.175
2025-03-14,0.18
2025-03-15,0.175
2025-03-16,0.185
2025-03-17,0.185
2025-03-18,0.175
2025-03-19,0.165
2025-03-20,0.165
2025-03-21,0.155
2025-03-22,0.145
2025-03-23,0.155
2025-03-24,0.155
2025-03-25,0.15
2025-03-26,0.15
2025-03-27,0.15
2025-03-28,0.15
2025-03-29,0.135
2025-03-30,0.125
2025-03-31,0.13
2025-04-01,0.09
2025-04-02,0.085
2025-04-03,0.045
2025-04-04,0.045
2025-04-05,0.0485
2025-04-06,0.051
2025-04-07,0.057
2025-04-08,0.0465
2025-04-09,0.047
2025-04-10,0.069
2025-04-11,0.1895
2025-04-12,0.167
2025-04-13,0.1995
2025-04-14,0.204
2025-04-15,0.184
2025-04-16,0.179
2025-04-17,0.152
2025-04-18,0.121
2025-04-19,0.1165
2025-04-20,0.118
2025-04-21,0.119
2025-04-22,0.1285
2025-04-23,0.1095
2025-04-24,0.094
2025-04-25,0.0965
2025-04-26,0.098
2025-04-27,0.108
2025-04-28,0.1075
2025-04-29,0.09
2025-04-30,0.02
