date,price
2025-03-05,0.255
2025-03-06,0.175
2025-03-07,0.065
2025-03-08,0.055
2025-03-09,0.045
2025-03-10,0.05
2025-03-11,0.055
2025-03-12,0.065
2025-03-13,0.065
2025-03-14,0.065
2025-03-15,0.065
2025-03-16,0.065
2025-03-17,0.08
2025-03-18,0.075
2025-03-19,0.075
2025-03-20,0.065
2025-03-21,0.055
2025-03-22,0.0335
2025-03-23,0.0225
2025-03-24,0.015
2025-03-25,0.0125
2025-03-26,0.015
2025-03-27,0.014
2025-03-28,0.0145
2025-03-29,0.027
2025-03-30,0.038
2025-03-31,0.0545
2025-04-01,0.0815
2025-04-02,0.093
2025-04-03,0.104
2025-04-04,0.0795
2025-04-05,0.0725
2025-04-06,0.093
2025-04-07,0.086
2025-04-08,0.0945
2025-04-09,0.087
2025-04-10,0.063
2025-04-11,0.051
2025-04-12,0.0405
2025-04-13,0.0545
2025-04-14,0.0595
2025-04-15,0.057
2025-04-16,0.0585
2025-04-17,0.0605
2025-04-18,0.0625
2025-04-19,0.059
2025-04-20,0.0605
2025-04-21,0.0615
2025-04-22,0.0605
2025-04-23,0.0595
2025-04-24,0.063
2025-04-25,0.0695
2025-04-26,0.064
2025-04-27,0.052
2025-04-28,0.0565
2025-04-29,0.0655
2025-04-30,0.1105
