date,price
2025-12-24,0.485
2025-12-25,0.265
2025-12-26,0.28
2025-12-27,0.195
2025-12-28,0.165
2025-12-29,0.145
2025-12-30,0.135
2025-12-31,0.135
2026-01-01,0.135
2026-01-02,0.135
2026-01-03,0.13
2026-01-04,0.13
2026-01-05,0.115
2026-01-06,0.12
2026-01-07,0.12
2026-01-08,0.12
2026-01-09,0.125
2026-01-10,0.135
2026-01-11,0.15
2026-01-12,0.27
2026-01-13,0.29
2026-01-14,0.39
2026-01-15,0.52
2026-01-16,0.515
2026-01-17,0.535
2026-01-18,0.525
2026-01-19,0.605
2026-01-20,0.585
2026-01-21,0.565
2026-01-22,0.59
2026-01-23,0.575
2026-01-24,0.58
2026-01-25,0.555
2026-01-26,0.55
2026-01-27,0.56
2026-01-28,0.53
2026-01-29,0.5
2026-01-30,0.485
2026-01-31,0.5
2026-02-01,0.47
2026-02-02,0.48
2026-02-03,0.475
2026-02-04,0.445
2026-02-05,0.495
2026-02-06,0.515
2026-02-07,0.415
2026-02-08,0.415
2026-02-09,0.405
2026-02-10,0.405
2026-02-11,0.4
2026-02-12,0.405
2026-02-13,0.38
2026-02-14,0.385
2026-02-15,0.275
2026-02-16,0.27
2026-02-17,0.365
2026-02-18,0.375
2026-02-19,0.38
2026-02-20,0.345
2026-02-21,0.37
2026-02-22,0.41
2026-02-23,0.395
2026-02-24,0.375
2026-02-25,0.38
2026-02-26,0.38
2026-02-27,0.405
2026-02-28,0.395
2026-03-01,0.4
2026-03-02,0.39
2026-03-03,0.385
2026-03-04,0.32
2026-03-05,0.345
2026-03-06,0.335
2026-03-07,0.15
2026-03-08,0.185
2026-03-09,0.175
2026-03-10,0.16
2026-03-11,0.185
2026-03-12,0.185
2026-03-13,0.26
2026-03-14,0.285
2026-03-15,0.295
2026-03-17,0.28
2026-03-18,0.285
2026-03-19,0.27
2026-03-20,0.22
2026-03-21,0.195
2026-03-22,0.205
2026-03-23,0.195
2026-03-24,0.2
2026-03-25,0.155
2026-03-26,0.155
2026-03-27,0.14
2026-03-28,0.135
2026-04-05,0.125
2026-04-09,0.075
2026-04-12,0.0395
2026-04-22,0.09
2026-04-23,0.088
2026-04-24,0.0925
2026-04-25,0.0705
2026-04-26,0.062
2026-04-27,0.075
2026-04-28,0.0935
2026-04-29,0.0635
2026-04-30,0.1195
