date,price
2025-08-02,0.505
2025-08-03,0.21
2025-08-04,0.225
2025-08-05,0.28
2025-08-06,0.24
2025-08-07,0.24
2025-08-08,0.245
2025-08-09,0.245
2025-08-10,0.245
2025-08-11,0.245
2025-08-12,0.245
2025-08-13,0.245
2025-08-14,0.245
2025-08-15,0.245
2025-08-16,0.24
2025-08-17,0.22
2025-08-18,0.225
2025-08-19,0.215
2025-08-20,0.225
2025-08-21,0.23
2025-08-22,0.23
2025-08-23,0.23
2025-08-24,0.235
2025-08-25,0.235
2025-08-26,0.235
2025-08-27,0.205
2025-08-28,0.22
2025-08-29,0.235
2025-08-30,0.155
2025-08-31,0.145
2025-09-01,0.14
2025-09-02,0.14
2025-09-03,0.14
2025-09-04,0.14
2025-09-05,0.135
2025-09-06,0.125
2025-09-07,0.125
2025-09-08,0.12
2025-09-09,0.12
2025-09-10,0.12
2025-09-11,0.115
2025-09-12,0.115
2025-09-13,0.115
2025-09-14,0.1
2025-09-15,0.095
2025-09-16,0.105
2025-09-17,0.05
2025-09-18,0.045
2025-09-19,0.05
2025-09-20,0.045
2025-09-21,0.045
2025-09-22,0.045
2025-09-23,0.04
2025-09-24,0.04
2025-09-25,0.0305
2025-09-26,0.0235
2025-09-27,0.0165
2025-09-28,0.007
2025-09-29,0.0085
2025-09-30,0.009
2025-10-01,0.008
2025-10-02,0.014
2025-10-03,0.004
2025-10-04,0.0065
2025-10-05,0.0065
2025-10-06,0.008
2025-10-07,0.009
2025-10-08,0.0105
2025-10-09,0.011
2025-10-10,0.01
2025-10-11,0.0125
2025-10-12,0.023
2025-10-13,0.0445
2025-10-14,0.0355
2025-10-15,0.032
2025-10-16,0.031
2025-10-17,0.019
2025-10-18,0.019
2025-10-19,0.019
2025-10-20,0.019
2025-10-21,0.018
2025-10-22,0.0185
2025-10-23,0.0185
2025-10-24,0.0175
2025-10-25,0.0265
2025-10-26,0.0155
2025-10-27,0.015
2025-10-28,0.0255
2025-10-29,0.0175
2025-10-30,0.001
2025-10-31,0.001
2025-11-01,0.001
2025-11-02,0.0005
2025-11-03,0.001
2025-11-04,0.001
2025-11-05,0.001
2025-11-06,0.0065
2025-11-07,0.001
2025-11-08,0.0065
2025-11-09,0.0105
2025-11-10,0.006
2025-11-11,0.0055
2025-11-12,0.004
2025-11-13,0.004
2025-11-14,0.004
2025-11-15,0.004
2025-11-16,0.004
2025-11-17,0.004
2025-11-18,0.0025
2025-11-19,0.0025
2025-11-20,0.004
2025-11-21,0.027
2025-11-22,0.011
2025-11-23,0.01
2025-11-24,0.007
2025-11-25,0.007
2025-11-26,0.0265
2025-11-27,0.0205
2025-11-28,0.02
2025-11-29,0.02
2025-11-30,0.023
2025-12-01,0.0155
2025-12-02,0.015
2025-12-03,0.008
2025-12-04,0.0055
2025-12-05,0.0035
2025-12-06,0.005
2025-12-07,0.0045
2025-12-08,0.0055
2025-12-09,0.0055
2025-12-10,0.005
2025-12-11,0.005
2025-12-12,0.014
2025-12-13,0.0155
2025-12-14,0.011
2025-12-15,0.015
2025-12-16,0.02
2025-12-17,0.0205
2025-12-18,0.0165
2025-12-19,0.0085
2025-12-20,0.0065
2025-12-21,0.005
2025-12-22,0.003
2025-12-23,0.004
