date,price
2025-10-30,0.43
2025-10-31,0.175
2025-11-01,0.155
2025-11-02,0.165
2025-11-03,0.165
2025-11-04,0.19
2025-11-05,0.215
2025-11-06,0.21
2025-11-07,0.205
2025-11-08,0.215
2025-11-09,0.215
2025-11-10,0.215
2025-11-11,0.235
2025-11-12,0.315
2025-11-13,0.335
2025-11-14,0.33
2025-11-15,0.35
2025-11-16,0.36
2025-11-17,0.365
2025-11-18,0.375
2025-11-19,0.38
2025-11-20,0.365
2025-11-21,0.365
2025-11-22,0.275
2025-11-23,0.255
2025-11-24,0.255
2025-11-25,0.275
2025-11-26,0.225
2025-11-27,0.155
2025-11-28,0.125
2025-11-29,0.12
2025-11-30,0.125
2025-12-01,0.125
2025-12-02,0.125
2025-12-03,0.115
2025-12-04,0.12
2025-12-05,0.12
2025-12-06,0.12
2025-12-07,0.12
2025-12-08,0.125
2025-12-09,0.125
2025-12-10,0.12
2025-12-11,0.125
2025-12-12,0.125
2025-12-13,0.13
2025-12-14,0.135
2025-12-15,0.135
2025-12-16,0.135
2025-12-17,0.22
2025-12-18,0.225
2025-12-19,0.235
2025-12-20,0.235
2025-12-21,0.225
2025-12-22,0.22
2025-12-23,0.215
2025-12-24,0.23
2025-12-25,0.18
2025-12-26,0.18
2025-12-27,0.11
2025-12-28,0.12
2025-12-29,0.135
2025-12-30,0.12
2025-12-31,0.11
2026-01-01,0.1
2026-01-02,0.07
2026-01-03,0.065
2026-01-04,0.06
2026-01-05,0.06
2026-01-06,0.125
2026-01-07,0.115
2026-01-08,0.115
2026-01-09,0.1
2026-01-10,0.085
2026-01-11,0.08
2026-01-12,0.065
2026-01-13,0.08
2026-01-14,0.085
2026-01-15,0.075
2026-01-16,0.085
2026-01-17,0.085
2026-01-18,0.075
2026-01-19,0.075
2026-01-20,0.07
2026-01-21,0.07
2026-01-22,0.045
2026-01-23,0.03
2026-01-24,0.0355
2026-01-25,0.0275
2026-01-26,0.0105
2026-01-27,0.0275
2026-01-28,0.0185
2026-01-29,0.008
2026-01-30,0.0245
2026-01-31,0.0245
2026-02-01,0.025
2026-02-02,0.027
2026-02-03,0.028
2026-02-04,0.067
2026-02-05,0.061
2026-02-06,0.061
2026-02-07,0.036
2026-02-08,0.0215
2026-02-09,0.0205
2026-02-10,0.0155
2026-02-11,0.0335
2026-02-12,0.0485
2026-02-13,0.066
2026-02-14,0.0605
2026-02-15,0.05
2026-02-17,0.035
2026-02-20,0.085
